date,shop_id,shop_type,city,new_user,total_sales_amount,transactions_count,due_amount,expenses_amount,subscription_purchased,subscription_package,app_sessions
2024-01-01 00:00:00,1102,Grocery,Khulna,0,444,4,7395,823,0,None,8
2024-01-01 01:00:00,1179,Grocery,Dhaka,1,2825,24,1399,2827,0,None,9
2024-01-01 02:00:00,1092,Pharmacy,Khulna,1,4049,31,3201,3807,0,None,13
2024-01-01 03:00:00,1014,Restaurant,Khulna,0,9797,45,7854,2779,0,None,20
2024-01-01 04:00:00,1106,Restaurant,Khulna,0,7937,59,6763,1846,0,None,17
2024-01-01 05:00:00,1071,Grocery,Dhaka,1,14224,45,2461,5531,0,None,19
2024-01-01 06:00:00,1188,Grocery,Dhaka,0,12200,59,7962,1240,0,None,17
2024-01-01 07:00:00,1020,Grocery,Rajshahi,1,8533,11,5190,4611,1,None,7
2024-01-01 08:00:00,1102,Restaurant,Chattogram,1,17476,37,5523,473,1,None,1
2024-01-01 09:00:00,1121,Restaurant,Chattogram,0,7510,1,5681,4131,1,None,20
2024-01-01 10:00:00,1074,Grocery,Rajshahi,1,2599,9,3678,3249,0,None,14
2024-01-01 11:00:00,1087,Electronics,Rajshahi,1,4840,17,5910,5506,0,None,17
2024-01-01 12:00:00,1116,Grocery,Khulna,1,19544,54,5516,1792,0,None,13
2024-01-01 13:00:00,1099,Pharmacy,Rajshahi,0,10591,1,336,1734,0,None,2
2024-01-01 14:00:00,1103,Restaurant,Sylhet,0,18053,3,1667,4925,0,None,14
2024-01-01 15:00:00,1151,Electronics,Chattogram,0,11092,47,3576,5188,0,None,1
2024-01-01 16:00:00,1130,Restaurant,Rajshahi,0,11397,26,909,3942,0,Basic,5
2024-01-01 17:00:00,1149,Restaurant,Sylhet,0,13250,53,275,6509,0,None,7
2024-01-01 18:00:00,1052,Grocery,Sylhet,1,3574,31,891,5281,0,None,19
2024-01-01 19:00:00,1001,Restaurant,Sylhet,0,13111,26,12,5858,0,None,14
2024-01-01 20:00:00,1087,Grocery,Sylhet,0,9047,23,5122,944,0,None,24
2024-01-01 21:00:00,1157,Electronics,Khulna,0,14985,30,4057,1511,1,None,14
2024-01-01 22:00:00,1037,Pharmacy,Sylhet,1,11160,10,3025,4081,0,None,15
2024-01-01 23:00:00,1129,Restaurant,Khulna,0,13735,8,7391,4526,0,None,5
2024-01-02 00:00:00,1191,Pharmacy,Khulna,0,8434,44,973,6118,0,None,5
2024-01-02 01:00:00,1187,Restaurant,Sylhet,0,10703,25,4270,858,0,None,21
2024-01-02 02:00:00,1020,Pharmacy,Chattogram,1,5322,22,3970,3560,0,None,24
2024-01-02 03:00:00,1160,Restaurant,Sylhet,0,10052,15,1408,229,1,None,2
2024-01-02 04:00:00,1057,Grocery,Sylhet,0,5587,59,5721,2417,1,None,18
2024-01-02 05:00:00,1021,Grocery,Sylhet,1,7831,41,1943,177,0,None,24
2024-01-02 06:00:00,1088,Grocery,Chattogram,1,7426,56,2288,3928,0,None,9
2024-01-02 07:00:00,1048,Grocery,Dhaka,1,5308,57,546,5529,0,None,10
2024-01-02 08:00:00,1058,Electronics,Dhaka,0,18808,10,6157,2615,0,None,18
2024-01-02 09:00:00,1169,Grocery,Khulna,0,2310,20,1218,1613,1,None,4
2024-01-02 10:00:00,1187,Electronics,Khulna,1,1157,41,1420,2840,0,None,8
2024-01-02 11:00:00,1014,Grocery,Chattogram,0,7346,47,1454,5859,1,None,18
2024-01-02 12:00:00,1189,Grocery,Rajshahi,1,760,23,3377,2947,0,None,20
2024-01-02 13:00:00,1189,Restaurant,Dhaka,0,1512,53,7501,1774,0,None,17
2024-01-02 14:00:00,1174,Restaurant,Khulna,0,18405,53,2772,5070,0,None,16
2024-01-02 15:00:00,1189,Pharmacy,Dhaka,0,11795,1,5529,3871,0,None,18
2024-01-02 16:00:00,1050,Pharmacy,Chattogram,0,5574,2,4098,81,0,None,7
2024-01-02 17:00:00,1107,Restaurant,Chattogram,0,2851,58,2738,845,0,Standard,1
2024-01-02 18:00:00,1054,Grocery,Rajshahi,0,10206,19,7719,2809,0,None,1
2024-01-02 19:00:00,1063,Electronics,Rajshahi,1,10133,14,7619,1216,0,None,18
2024-01-02 20:00:00,1130,Electronics,Chattogram,0,16372,8,3747,4713,0,None,4
2024-01-02 21:00:00,1050,Restaurant,Khulna,0,3077,38,1842,3260,0,None,23
2024-01-02 22:00:00,1134,Grocery,Dhaka,1,4283,12,746,3145,0,None,20
2024-01-02 23:00:00,1020,Restaurant,Sylhet,0,945,26,2816,2263,0,None,21
2024-01-03 00:00:00,1072,Grocery,Rajshahi,0,8949,27,871,2337,0,Standard,20
2024-01-03 01:00:00,1166,Grocery,Sylhet,1,17525,29,494,444,0,None,4
2024-01-03 02:00:00,1017,Grocery,Khulna,0,18880,15,6560,922,1,None,6
2024-01-03 03:00:00,1131,Pharmacy,Rajshahi,1,17523,46,5510,6695,0,None,3
2024-01-03 04:00:00,1088,Electronics,Sylhet,1,18194,53,3444,4288,0,None,6
2024-01-03 05:00:00,1059,Restaurant,Khulna,1,1925,1,4723,5758,0,None,13
2024-01-03 06:00:00,1013,Restaurant,Dhaka,0,12413,43,1075,4384,1,None,23
2024-01-03 07:00:00,1008,Pharmacy,Khulna,0,9728,28,7543,2630,0,None,7
2024-01-03 08:00:00,1089,Grocery,Rajshahi,0,14362,57,7562,1167,0,None,24
2024-01-03 09:00:00,1052,Grocery,Chattogram,0,9053,3,3994,3963,0,Basic,4
2024-01-03 10:00:00,1129,Electronics,Dhaka,1,7387,51,7164,5526,0,None,1
2024-01-03 11:00:00,1083,Grocery,Sylhet,0,232,18,4237,5930,0,None,6
2024-01-03 12:00:00,1091,Electronics,Rajshahi,0,15093,52,7253,3441,0,None,24
2024-01-03 13:00:00,1110,Pharmacy,Chattogram,1,14608,34,5583,3512,1,Standard,5
2024-01-03 14:00:00,1187,Pharmacy,Khulna,0,15360,32,45,6066,1,None,13
2024-01-03 15:00:00,1198,Restaurant,Chattogram,0,3614,29,6987,6924,0,None,19
2024-01-03 16:00:00,1171,Pharmacy,Rajshahi,0,17740,25,3056,895,0,Standard,4
2024-01-03 17:00:00,1007,Electronics,Rajshahi,1,19710,26,7405,5015,0,None,24
2024-01-03 18:00:00,1174,Electronics,Chattogram,0,12320,39,2057,3722,0,None,6
2024-01-03 19:00:00,1034,Pharmacy,Khulna,1,1743,8,663,6707,0,None,13
2024-01-03 20:00:00,1080,Grocery,Chattogram,0,471,19,4668,6130,0,None,5
2024-01-03 21:00:00,1163,Pharmacy,Rajshahi,1,5495,54,2029,5648,0,Standard,13
2024-01-03 22:00:00,1049,Electronics,Rajshahi,1,15163,47,5649,5796,0,None,10
2024-01-03 23:00:00,1103,Grocery,Sylhet,0,11780,42,5717,2060,0,None,3
2024-01-04 00:00:00,1131,Restaurant,Sylhet,0,19293,22,2696,5821,0,Basic,23
2024-01-04 01:00:00,1001,Restaurant,Dhaka,0,12797,29,5008,3034,0,None,13
2024-01-04 02:00:00,1133,Restaurant,Rajshahi,1,12245,33,7909,2387,0,None,12
2024-01-04 03:00:00,1053,Grocery,Sylhet,0,13803,38,639,1897,0,None,4
2024-01-04 04:00:00,1105,Restaurant,Chattogram,0,10137,45,2663,1799,1,None,10
2024-01-04 05:00:00,1003,Electronics,Khulna,0,15030,46,2745,4407,1,None,3
2024-01-04 06:00:00,1053,Grocery,Chattogram,0,6922,35,5004,2780,0,Standard,17
2024-01-04 07:00:00,1190,Grocery,Khulna,0,8401,43,6321,1127,0,None,9
2024-01-04 08:00:00,1145,Electronics,Sylhet,0,4344,3,4964,338,0,None,1
2024-01-04 09:00:00,1043,Grocery,Dhaka,0,5806,19,5125,6443,0,None,18
2024-01-04 10:00:00,1161,Electronics,Chattogram,1,6966,10,4948,4454,0,None,9
2024-01-04 11:00:00,1189,Pharmacy,Chattogram,0,17314,27,4402,6312,0,None,21
2024-01-04 12:00:00,1013,Grocery,Chattogram,0,16128,15,2595,1172,0,None,20
2024-01-04 13:00:00,1094,Electronics,Khulna,1,1848,11,6470,2808,0,Premium,9
2024-01-04 14:00:00,1047,Pharmacy,Sylhet,1,2330,47,3427,4863,1,None,2
2024-01-04 15:00:00,1014,Pharmacy,Chattogram,1,14592,26,5912,3029,0,None,19
2024-01-04 16:00:00,1199,Grocery,Chattogram,0,10788,59,394,2089,0,None,16
2024-01-04 17:00:00,1189,Pharmacy,Dhaka,0,4566,24,6443,4297,0,None,3
2024-01-04 18:00:00,1039,Grocery,Dhaka,0,1706,13,3597,3017,0,None,16
2024-01-04 19:00:00,1081,Grocery,Sylhet,1,18742,32,4844,5788,0,None,21
2024-01-04 20:00:00,1110,Electronics,Sylhet,0,19500,37,2332,4559,0,None,13
2024-01-04 21:00:00,1052,Grocery,Rajshahi,0,15422,4,329,448,0,Basic,3
2024-01-04 22:00:00,1023,Restaurant,Dhaka,0,12563,13,2097,5008,1,None,10
2024-01-04 23:00:00,1153,Grocery,Rajshahi,0,19813,9,6127,4893,0,None,22
2024-01-05 00:00:00,1187,Restaurant,Khulna,0,11995,57,772,793,1,None,18
2024-01-05 01:00:00,1123,Grocery,Rajshahi,0,10058,49,1645,436,0,None,6
2024-01-05 02:00:00,1040,Electronics,Chattogram,0,12816,34,1732,6012,0,None,6
2024-01-05 03:00:00,1156,Pharmacy,Rajshahi,0,4336,56,4473,5869,0,None,18
2024-01-05 04:00:00,1014,Grocery,Sylhet,1,13678,37,1787,4626,0,None,6
2024-01-05 05:00:00,1044,Grocery,Khulna,1,11361,48,1623,4660,1,None,6
2024-01-05 06:00:00,1064,Grocery,Chattogram,1,2889,7,999,1620,0,None,22
2024-01-05 07:00:00,1088,Pharmacy,Rajshahi,1,3010,1,1848,5392,0,None,13
2024-01-05 08:00:00,1070,Grocery,Khulna,0,11863,58,1561,3501,0,None,14
2024-01-05 09:00:00,1008,Restaurant,Khulna,0,6352,12,773,2919,0,Basic,21
2024-01-05 10:00:00,1087,Pharmacy,Chattogram,0,212,21,7311,4308,0,None,7
2024-01-05 11:00:00,1128,Grocery,Rajshahi,0,11362,11,5179,948,0,None,13
2024-01-05 12:00:00,1135,Restaurant,Khulna,0,8199,44,7011,3944,1,None,15
2024-01-05 13:00:00,1062,Restaurant,Khulna,0,7419,51,1803,1127,0,Basic,12
2024-01-05 14:00:00,1138,Grocery,Dhaka,0,5528,58,1098,191,0,None,21
2024-01-05 15:00:00,1080,Grocery,Khulna,0,3821,44,2050,4012,0,None,1
2024-01-05 16:00:00,1135,Grocery,Dhaka,0,11865,44,1598,3760,0,None,3
2024-01-05 17:00:00,1162,Restaurant,Rajshahi,0,11514,14,747,3730,0,None,18
2024-01-05 18:00:00,1162,Restaurant,Rajshahi,1,852,34,5567,1403,1,None,22
2024-01-05 19:00:00,1032,Pharmacy,Rajshahi,0,16382,34,5860,1990,0,None,8
2024-01-05 20:00:00,1122,Restaurant,Sylhet,0,9012,25,3973,1104,0,None,2
2024-01-05 21:00:00,1004,Restaurant,Rajshahi,0,3990,4,2322,4800,0,None,4
2024-01-05 22:00:00,1040,Pharmacy,Khulna,0,15859,52,1553,548,1,None,18
2024-01-05 23:00:00,1027,Electronics,Chattogram,0,1845,55,1615,3448,1,None,13
2024-01-06 00:00:00,1134,Grocery,Dhaka,0,10635,26,6358,1861,0,None,15
2024-01-06 01:00:00,1071,Grocery,Sylhet,0,3888,16,3754,4249,0,None,2
2024-01-06 02:00:00,1011,Grocery,Rajshahi,0,7889,10,5604,5761,0,Standard,10
2024-01-06 03:00:00,1161,Grocery,Rajshahi,1,1579,45,4424,570,1,None,2
2024-01-06 04:00:00,1032,Pharmacy,Chattogram,1,4443,2,2302,1784,0,None,21
2024-01-06 05:00:00,1047,Electronics,Chattogram,0,10437,35,5506,2287,0,None,12
2024-01-06 06:00:00,1150,Grocery,Sylhet,0,16530,19,4221,2421,0,None,5
2024-01-06 07:00:00,1061,Grocery,Dhaka,1,19237,6,4862,3972,0,None,12
2024-01-06 08:00:00,1036,Pharmacy,Rajshahi,0,5811,19,3655,804,0,None,23
2024-01-06 09:00:00,1098,Electronics,Sylhet,0,12716,59,5669,798,1,Standard,1
2024-01-06 10:00:00,1171,Grocery,Khulna,0,14086,53,3395,3275,0,None,2
2024-01-06 11:00:00,1103,Pharmacy,Khulna,1,13916,52,5323,610,0,None,16
2024-01-06 12:00:00,1034,Grocery,Sylhet,0,6112,51,5291,6831,0,Premium,22
2024-01-06 13:00:00,1192,Grocery,Rajshahi,0,6649,8,5854,6917,1,Standard,2
2024-01-06 14:00:00,1100,Electronics,Sylhet,1,1925,14,216,1806,1,None,16
2024-01-06 15:00:00,1174,Electronics,Rajshahi,0,16070,10,3316,4238,0,None,20
2024-01-06 16:00:00,1130,Grocery,Chattogram,0,9504,3,1359,3260,1,None,16
2024-01-06 17:00:00,1000,Electronics,Sylhet,1,7722,38,3774,4367,0,None,6
2024-01-06 18:00:00,1004,Restaurant,Rajshahi,0,13863,29,5417,5651,0,None,13
2024-01-06 19:00:00,1141,Electronics,Sylhet,0,4984,15,4927,3371,0,None,12
2024-01-06 20:00:00,1102,Pharmacy,Sylhet,0,9672,23,4277,2473,1,Standard,23
2024-01-06 21:00:00,1026,Pharmacy,Rajshahi,0,17816,23,4429,2093,1,None,10
2024-01-06 22:00:00,1136,Pharmacy,Rajshahi,0,10255,18,4606,2142,0,None,5
